,Country,Life expectancy ,Schooling,Population,GDP, BMI ,Continent
0,Afghanistan,58.19375,8.2125,9972259.8125,340.01542546875,15.51875,AS
1,Albania,75.15625,12.1375,696911.625,2119.726678875,49.06875,EU
2,Algeria,73.61875,12.7125,21649827.4375,2847.8533923125,48.74375,AF
3,Angola,49.01875,8.04375,10147099.1875,1975.14304511875,18.01875,AF
4,Antigua and Barbuda,75.05625,8.84375,,9759.305728125,38.425,NA
5,Argentina,75.15625,16.50625,20121204.5,6998.575103125,54.98125,SA
6,Armenia,73.4,11.7875,1015164.625,1999.98631765,44.70625,AS
7,Australia,81.8125,20.0375,4587009.875,34637.565046875,55.8625,OC
8,Austria,81.48125,15.3875,6474879.875,33827.47630875,48.2875,EU
9,Azerbaijan,70.73125,11.35,2157370.5,3302.94780699375,43.84375,AS
10,Bahamas,74.2875,12.425,,,52.88125,NA
11,Bahrain,75.725,14.1125,,11191.247420625,51.65625,AS
12,Bangladesh,69.3,8.69375,42985163.875,443.561481025,12.875,AS
13,Barbados,74.35625,14.89375,,12017.098529375,45.975,NA
14,Belarus,69.90625,14.75,6371866.8125,3811.525348,54.74375,EU
15,Belgium,80.68125,16.7875,2884042.5625,16915.306,50.89375,EU
16,Belize,69.26875,12.45625,170392.875,3933.0121745,37.675,NA
17,Benin,57.56875,8.85,3942978.9375,561.167968,19.6125,AF
18,Bhutan,66.1625,10.225,492584.9375,1353.98694560625,17.58125,AS
19,Bolivia,67.70625,13.9625,,,44.81875,SA
20,Bosnia and Herzegovina,75.96875,12.225,1986993.0625,2245.0260235625,48.9625,EU
21,Botswana,56.05,12.1375,1063867.375,4498.2854311875,32.24375,AF
22,Brazil,73.38125,14.1625,88128071.25,6143.1617935,47.0625,SA
23,Brunei Darussalam,76.4875,14.10625,,19744.808101875,29.718750000000004,AS
24,Bulgaria,72.85,13.725,5290923.9375,4938.981821375,54.5,EU
25,Burkina Faso,55.64375,5.40625,6143694.8125,410.37203431250003,15.5,AF
26,Burundi,55.5375,7.48125,3915446.6875,137.81532131875,15.3125,AF
27,Cabo Verde,72.51875,12.2,292600.25,2023.54103925,24.375,AF
28,Cambodia,64.34375,9.875,7145967.4375,466.19687805,15.3625,AS
29,Cameroon,54.01875,8.90625,9967291.9375,781.0160044125,23.61875,AF
30,Canada,81.6875,15.875,11364053.8125,29382.907523125,55.8625,NA
31,Central African Republic,48.5125,6.2375,2016546.125,363.05590485,17.0875,AF
32,Chad,50.3875,6.0875,4114092.0625,484.79169405625,16.31875,AF
33,Chile,79.45,14.9,14671763.9375,6202.3443635625,55.5875,SA
34,China,74.2625,11.4375,321812.0625,2345.3031576875,21.80625,AS
35,Colombia,73.2875,12.23125,31767432.625,3321.6607483125,49.54375,SA
36,Comoros,61.58125,9.95625,532200.6875,630.38433406875,18.25625,AF
37,Congo,59.04375,10.0875,,,20.925,AF
38,Cook Islands,,,,,82.8,OC
39,Costa Rica,78.59375,12.8375,2309299.4375,3957.22728625,46.725,NA
40,Croatia,76.11875,13.8875,1159772.375,9056.7847190625,52.35625,EU
41,Cuba,77.975,14.69375,,3180.4348844375,49.4625,NA
42,Cyprus,79.675,13.51875,390274.375,13898.885501249999,53.162499999999994,AS
43,Czechia,76.76875,,,,55.7125,EU
44,Côte d'Ivoire,50.3875,,,,21.325,AF
45,Democratic People's Republic of Korea,69.19375,,,,25.625,AS
46,Democratic Republic of the Congo,55.6875,,,,15.8375,AF
47,Denmark,79.25625,17.19375,4260081.375,33067.407915625,55.825,EU
